Timestamp,id,name,link,type,input_info,input_fmt,td_type,tdma,is-integrated,can-integrated,maturity,studies_maturity,dlc_step,studies_dlc_step,run_stand_alone,license_type,output_info,output_fmt,trigger,studies_trigger,programming_language,studies_citing_artifact,studies_tdma,studies_td_type,studies_is_integrated,studies_can_integrated,other_comments
9/23/2022 19:21:36,AF1,a-cma / a-cma dqn,https://hrahmadi71.github.io/a-cma/,tool,source code,source code,"Design TD,Code TD",Repayment,No,Yes,Academic Studies,S166,Evolution/Maintenance,,Yes,Open Source,Values for each refactoring,software refactored and new metrics,Human Trigger,,Java,"S27,S166",,,,,
9/26/2022 8:53:04,AF2,adacontrol,https://www.adalog.fr/en/adacontrol.html,tool,source code,source code,"Design TD,Code TD","Measurement,Identification",No,Yes,Industrial Studies,S2,Evolution/Maintenance,,Yes,Open Source,Code violations,csv,Human Trigger,,ada,S2,,,,,
9/26/2022 9:12:06,AF3,ai reviewer,https://www.aireviewer.com/doc/,tool,source code,source code,Architectural TD,Identification,No,Yes,Examples,,Evolution/Maintenance,,Yes,Commercial,Metrics Reports,xml,Human Trigger,,"Java,C/C++,Go",S162,,,,,
9/26/2022 9:56:00,AF4,arcan,https://gitlab.com/essere.lab.public/arcan,tool,source code,source code,Architectural TD,Identification,Yes,Yes,Industrial Studies,S56,Evolution/Maintenance,,Yes,Open Source,dependency graph,dependecy graph,Human Trigger,,Java,"S49,S53,S56,S69,S74,S85,S86,S97,S138,S148,S153,S162,S163",,,,,
9/26/2022 10:05:47,AF5,astracker,https://github.com/darius-sas/astracker,script,dependency graph,graphml (generated by arcan),Architectural TD,Monitoring,Yes,Yes,Examples,,Evolution/Maintenance,,Yes,Open Source,architectural smells tracked,xml,Human Trigger,,Java,S85,,,,,
9/26/2022 10:24:04,AF6,atdx,https://github.com/S2-group/ATDx,tool,source code,json,Architectural TD,Measurement,Yes,Yes,Examples,,Evolution/Maintenance,,Yes,Open Source,architectural td index,"json,html,markdown",Both,,Not Specified,"S118,S137,S168",,,,,
9/26/2022 10:36:35,AF7,bettercodehub,https://bettercodehub.com/about,tool,source code,source code,"Design TD,Code TD",Identification,Yes,Yes,Examples,,Evolution/Maintenance,,Yes,free (for open source),code violations,pull requests,Automated Trigger,,"Java,C#,C++,Go,Groovy,JavaScript,Python,+8",S82,,,,,runs with github
9/28/2022 13:52:32,AF8,brunoslima/SATDPriorityParse,https://github.com/brunoslima/SATDPriorityParse,script,"source code,code comments",source code,"Design TD,Code TD,satd",Priorization,Yes,Yes,Examples,,Evolution/Maintenance,,No,Open Source,a label whether each code comment is satd,csv,Human Trigger,,Java,S171,,,,,it works for a vey specific context
9/26/2022 10:52:39,AF9,cast,https://www.castsoftware.com/,tool,source code,source code,"Architectural TD,Design TD,Code TD","Measurement,Identification",No,Yes,Industrial Studies,S56,Evolution/Maintenance,,Yes,Commercial,code metrics,"html,api",Both,,"Java,Python,Javascript,C/C++,C#,+6","S9,S11,S24,S56,S106,S113,S150",,,,,
9/26/2022 11:02:37,AF10,cbr insight,https://github.com/StottlerHenke,plugin,source code,source code,"Architectural TD,Design TD,Code TD","Measurement,Identification",Yes,Yes,Industrial Studies,"S41,S72",Evolution/Maintenance,,No,Open Source,code metrics,html,Human Trigger,,supported by scitool understand,"S41,S72",,,,,
